name,batch,seqlen,head,bw
flash_mla_triton,128,8319,64,299
torch,128,8319,128,2
flash_mla,128,8319,128,2271
flash_infer,128,8319,128,2431
flash_mla_triton,128,8319,128,151
torch,128,16511,16,14
flash_mla,128,16511,16,3614
flash_infer,128,16511,16,3468
flash_mla_triton,128,16511,16,1316
torch,128,16511,32,8
flash_mla,128,16511,32,3560
flash_infer,128,16511,32,3436
flash_mla_triton,128,16511,32,673
torch,128,16511,64,4
flash_mla,128,16511,64,3473
flash_infer,128,16511,64,3344
flash_mla_triton,128,16511,64,340
torch,128,16511,128,2
flash_mla,128,16511,128,1973
flash_infer,128,16511,128,2334
flash_mla_triton,128,16511,128,171
torch,128,32895,16,15
flash_mla,128,32895,16,3734
flash_infer,128,32895,16,3547
flash_mla_triton,128,32895,16,1429
torch,128,32895,32,8
flash_mla,128,32895,32,3702
flash_infer,128,32895,32,3526
flash_mla_triton,128,32895,32,731
torch,128,32895,64,4
flash_mla,128,32895,64,3523
flash_infer,128,32895,64,3470
flash_mla_triton,128,32895,64,370
torch,128,32895,128,2
flash_mla,128,32895,128,2138
flash_infer,128,32895,128,2334
flash_mla_triton,128,32895,128,186
